fdc_id,data_type,description,food_category_id,publication_date,total_sugar
171270,sr_legacy_food,"Milk, nonfat, fluid, with added nonfat milk solids, vitamin A and vitamin D (fat free or skim)",1,4/1/2019,
171269,sr_legacy_food,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",1,4/1/2019,
173432,sr_legacy_food,"Milk, nonfat, fluid, without added vitamin A and vitamin D (fat free or skim)",1,4/1/2019,
171266,sr_legacy_food,"Milk, producer, fluid, 3.7% milkfat",1,4/1/2019,
170871,sr_legacy_food,"Milk, reduced fat, fluid, 2% milkfat, protein fortified, with added vitamin A and vitamin D",1,4/1/2019,
170870,sr_legacy_food,"Milk, reduced fat, fluid, 2% milkfat, with added nonfat milk solids and vitamin A and vitamin D",1,4/1/2019,
172193,sr_legacy_food,"Milk, reduced fat, fluid, 2% milkfat, with added nonfat milk solids, without added vitamin A",1,4/1/2019,
171267,sr_legacy_food,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",1,4/1/2019,
172205,sr_legacy_food,"Milk, reduced fat, fluid, 2% milkfat, without added vitamin A and vitamin D",1,4/1/2019,
170882,sr_legacy_food,"Milk, sheep, fluid",1,4/1/2019,
171265,sr_legacy_food,"Milk, whole, 3.25% milkfat, with added vitamin D",1,4/1/2019,
172217,sr_legacy_food,"Milk, whole, 3.25% milkfat, without added vitamin A and vitamin D",1,4/1/2019,
170894,sr_legacy_food,"Yogurt, Greek, plain, nonfat (Includes foods for USDA's Food Distribution Program)",1,4/1/2019,
171304,sr_legacy_food,"Yogurt, Greek, plain, whole milk",1,4/1/2019,4
170887,sr_legacy_food,"Yogurt, plain, skim milk",1,4/1/2019,
171284,sr_legacy_food,"Yogurt, plain, whole milk",1,4/1/2019,
170580,sr_legacy_food,"Nuts, coconut cream, raw (liquid expressed from grated meat)",1,4/1/2019,
168585,sr_legacy_food,"Nuts, coconut meat, dried (desiccated), creamed",1,4/1/2019,
170170,sr_legacy_food,"Nuts, coconut meat, dried (desiccated), not sweetened",1,4/1/2019,
170579,sr_legacy_food,"Nuts, coconut meat, dried (desiccated), toasted",1,4/1/2019,
170169,sr_legacy_food,"Nuts, coconut meat, raw",1,4/1/2019,
170173,sr_legacy_food,"Nuts, coconut milk, canned (liquid expressed from grated meat and water)",1,4/1/2019,
169409,sr_legacy_food,"Nuts, coconut milk, frozen (liquid expressed from grated meat and water)",1,4/1/2019,
170172,sr_legacy_food,"Nuts, coconut milk, raw (liquid expressed from grated meat and water)",1,4/1/2019,
175231,sr_legacy_food,SILK Original Creamer,1,4/1/2019,0
175223,sr_legacy_food,"SILK Unsweetened, soymilk",1,4/1/2019,0.41
175215,sr_legacy_food,"Soymilk (all flavors), unsweetened, with added calcium, vitamins A and D",1,4/1/2019,0.41
173768,sr_legacy_food,"Soymilk, original and vanilla, light, unsweetened, with added calcium, vitamins A and D",1,4/1/2019,0.41
172446,sr_legacy_food,"Soymilk, original and vanilla, unfortified",1,4/1/2019,3.99
172232,sr_legacy_food,"Basil, fresh",2,4/1/2019,
172238,sr_legacy_food,"Capers, canned",2,4/1/2019,
172233,sr_legacy_food,"Dill weed, fresh",2,4/1/2019,
173472,sr_legacy_food,"Horseradish, prepared",2,4/1/2019,
172234,sr_legacy_food,"Mustard, prepared, yellow",2,4/1/2019,
173474,sr_legacy_food,"Peppermint, fresh",2,4/1/2019,
173473,sr_legacy_food,"Rosemary, fresh",2,4/1/2019,
173468,sr_legacy_food,"Salt, table",2,4/1/2019,
173476,sr_legacy_food,"Seasoning mix, dry, chili, original",2,4/1/2019,
172242,sr_legacy_food,"Seasoning mix, dry, sazon, coriander & annatto",2,4/1/2019,
172243,sr_legacy_food,"Seasoning mix, dry, taco, original",2,4/1/2019,
172239,sr_legacy_food,"Spearmint, dried",2,4/1/2019,
173475,sr_legacy_food,"Spearmint, fresh",2,4/1/2019,
171315,sr_legacy_food,"Spices, allspice, ground",2,4/1/2019,
171316,sr_legacy_food,"Spices, anise seed",2,4/1/2019,
171317,sr_legacy_food,"Spices, basil, dried",2,4/1/2019,
170917,sr_legacy_food,"Spices, bay leaf",2,4/1/2019,
170918,sr_legacy_food,"Spices, caraway seed",2,4/1/2019,
170919,sr_legacy_food,"Spices, cardamom",2,4/1/2019,
170920,sr_legacy_food,"Spices, celery seed",2,4/1/2019,
171318,sr_legacy_food,"Spices, chervil, dried",2,4/1/2019,
171319,sr_legacy_food,"Spices, chili powder",2,4/1/2019,
171320,sr_legacy_food,"Spices, cinnamon, ground",2,4/1/2019,
171321,sr_legacy_food,"Spices, cloves, ground",2,4/1/2019,
170921,sr_legacy_food,"Spices, coriander leaf, dried",2,4/1/2019,
170922,sr_legacy_food,"Spices, coriander seed",2,4/1/2019,
170923,sr_legacy_food,"Spices, cumin seed",2,4/1/2019,
170924,sr_legacy_food,"Spices, curry powder",2,4/1/2019,
170925,sr_legacy_food,"Spices, dill seed",2,4/1/2019,
171322,sr_legacy_food,"Spices, dill weed, dried",2,4/1/2019,
171323,sr_legacy_food,"Spices, fennel seed",2,4/1/2019,
171324,sr_legacy_food,"Spices, fenugreek seed",2,4/1/2019,
171325,sr_legacy_food,"Spices, garlic powder",2,4/1/2019,
170926,sr_legacy_food,"Spices, ginger, ground",2,4/1/2019,
170927,sr_legacy_food,"Spices, mace, ground",2,4/1/2019,
170928,sr_legacy_food,"Spices, marjoram, dried",2,4/1/2019,
170929,sr_legacy_food,"Spices, mustard seed, ground",2,4/1/2019,
171326,sr_legacy_food,"Spices, nutmeg, ground",2,4/1/2019,
171327,sr_legacy_food,"Spices, onion powder",2,4/1/2019,
171328,sr_legacy_food,"Spices, oregano, dried",2,4/1/2019,
171329,sr_legacy_food,"Spices, paprika",2,4/1/2019,
170930,sr_legacy_food,"Spices, parsley, dried",2,4/1/2019,
170931,sr_legacy_food,"Spices, pepper, black",2,4/1/2019,
170932,sr_legacy_food,"Spices, pepper, red or cayenne",2,4/1/2019,
170933,sr_legacy_food,"Spices, pepper, white",2,4/1/2019,
171330,sr_legacy_food,"Spices, poppy seed",2,4/1/2019,
171331,sr_legacy_food,"Spices, poultry seasoning",2,4/1/2019,
