Food Code,ADD_SUGARS,,
11830150,0,,
11830160,19.48,,
11830165,0,,
11830260,15.89,,
11830400,22.73,,
12100100,0,,
12110100,0,,
12120100,0,,
12120106,0,,
12120110,0.37,,
12130100,0,,
12140000,2.04,,
12200100,2.71,,
12210200,2.71,,
12210210,7.87,,
12210260,2.17,,
12210270,7.57,,
12210280,0,,
12210310,0,,
12210400,1.85,,
12210420,13.81,,
12210430,17.48,,
12210440,17.48,,
12210505,0,,
12210520,2.71,,
12220200,5.13,,
12220270,5.62,,
12220280,0,,
12310100,0,,
12310350,0,,
12310370,0,,
12320100,0,,
12350010,0,,
12350200,0,,
12350205,1.7,,
12350210,0,,
12350215,1.7,,
12350220,0,,
12350225,1.35,,
12350230,0,,
12350235,1.7,,
12350240,0,,
12350245,1.35,,
12350250,0,,
12350255,1.7,,
13110000,4.57,,
13110100,4.17,,
13110102,5.17,,
13110110,5.23,,
13110112,6.06,,
13110200,4.28,,
13110210,5.03,,
13110460,4.09,,
13110470,2.97,,
13120050,4.28,,
13120100,3.66,,
13120110,5.96,,
13120140,3.59,,
13120500,5.27,,
13120510,6.06,,
13120550,5.66,,
13120730,4.06,,
13120735,4.28,,
13120740,4.44,,
13120770,5.07,,
13120775,5.28,,
13120782,4.16,,
13120784,4.88,,
13120786,4.38,,
13120788,5.09,,
13120790,4.86,,
13120792,4.81,,
13120800,2.96,,
13120810,3.24,,
13121000,4.9,,
13121100,4.57,,
13121120,4.3,,
13121300,4.9,,
13121400,6.1,,
13126000,4.28,,
13130100,2.14,,
13130300,2.14,,
13130310,2.51,,
13130700,4.34,,
13135000,3.74,,
13135010,4.02,,
13140000,1.58,,
13140100,1.56,,
13140115,1.83,,
13140700,3.48,,
13140710,0,,
13140900,3.32,,
13142100,2.83,,
13142110,3.13,,
13150000,4.68,,
13161600,0,,
13200110,3.56,,
13210110,1.26,,
13210280,3.33,,
13210300,1.58,,
13210350,5.93,,
13210370,3.22,,
13210410,1.19,,
13210450,2.81,,
13210520,2.85,,
13220110,3.65,,
13220120,3.01,,
13220210,0,,
13220220,0,,
13230110,3.33,,
13230120,0,,
13230130,3.56,,
13230140,0,,
13230500,2.85,,
13241000,3.07,,
13250000,2.74,,
13252200,10.57,,
13252500,8.31,,
13252590,2.85,,
13252600,3.96,,
13310000,2.14,,
13311000,2.14,,
13312000,2.14,,
13411000,0,,
14010000,0,,
14101010,0,,
14102010,0,,
14103010,0,,
14103020,0,,
14104100,0,,
14104110,0,,
14104115,0,,
14104200,0,,
14104250,0,,
14104400,0,,
14104600,0,,
14104700,0,,
14105010,0,,
14105200,0,,
14106010,0,,
14106200,0,,
14106500,0,,
14107010,0,,
14107030,0,,
14107040,0,,
14107060,0,,
14107200,0,,
14107250,0,,
14108010,0,,
14108015,0,,
14108020,0,,
14108060,0,,
14108200,0,,
14108400,0,,
14108420,0,,
14109010,0,,
14109020,0,,
14109030,0,,
14109040,0,,
14110010,0,,
14120010,0,,
14120020,0,,
14131000,0,,
14131500,0,,
14133000,0,,
14134000,0,,
14200100,0,,
14201010,0,,
14201200,0,,
14201500,0,,
14202010,0,,
14202020,0,,
14203010,0,,
14203020,0,,
14203510,0,,
14204010,0,,
14204020,0.71,,
14206010,0,,
14207010,0,,
14301010,0,,
14301100,0,,
14303010,0,,
14410100,0,,
14410110,0,,
14410120,0,,
14410130,0,,
14410210,0,,
14410330,0,,
14410380,0,,
14410500,0,,
14410600,0,,
14410620,0,,
14420100,0,,
14420160,0,,
14420200,0,,
14420210,0,,
14420300,0,,
14502000,0,,
14610200,1.48,,
14610210,1.12,,
14610250,0.8,,
14610520,0,,
14620110,0,,
14620115,0,,
14620130,0,,
14620150,0,,
14620200,0,,
14620300,0.27,,
14620310,0.24,,
14620320,0.28,,
14620330,0.25,,
14630100,0,,
14630200,0,,
14630300,0,,
14640000,0.53,,
14640002,0.53,,
14640004,0.69,,
14640006,0.69,,
14640008,0.53,,
14640010,0.69,,
14640012,0.69,,
14640014,0.53,,
14640016,0.69,,
14640018,0.69,,
14640020,0.53,,
14640022,0.69,,
14640024,0.69,,
14640026,0.47,,
14640028,0.6,,
14640030,0.6,,
14640032,0.47,,
14640034,0.6,,
14640036,0.6,,
14640038,0.47,,
14640040,0.6,,
14640042,0.6,,
14640044,0.47,,
14640046,0.6,,
14640048,0.6,,
14640050,0.47,,
14640052,0.6,,
14640054,0.6,,
14640056,0.47,,
14640058,0.6,,
14640060,0.6,,
14640062,0.47,,
14640064,0.6,,
14640066,0.6,,
14640068,0.47,,
14640070,0.6,,
14640072,0.6,,
14640100,0.47,,
14640105,0.47,,
14640110,0.6,,
14640115,0.6,,
14640125,0.47,,
14640130,0.6,,
14640135,0.6,,
14640155,0.47,,
14640160,0.6,,
14640165,0.6,,
14640185,0.47,,
14640190,0.6,,
14640195,0.6,,
14650100,0,,
14650160,0,,
14650165,0,,
14650170,0,,
14650175,0,,
14650180,0,,
14650185,0,,
14650190,0,,
14650195,0,,
14660200,0,,
14670000,0,,
14710100,0,,
14710200,0,,
20000000,0,,
20000070,0,,
20000090,0.12,,
20000200,0,,
21000100,0,,
21000110,0,,
21000120,0,,
21001000,0,,
21001010,0,,
21001020,0,,
21002000,0,,
21003000,0,,
21101000,0,,
21101010,0,,
21101020,0,,
21101110,0,,
21101120,0,,
21101130,0,,
21102110,0,,
21102120,0,,
21102130,0,,
21103110,0.23,,
21103120,0.23,,
21103130,0.23,,
21104110,0,,
21104120,0,,
21104130,0,,
21105110,0,,
21105120,0,,
21105130,0,,
21301000,0,,
21302000,0,,
21304000,0,,
21304110,0,,
21304120,0,,
21304200,2.28,,
21304210,2.28,,
21304220,2.28,,
21305000,0,,
21401000,0,,
21401110,0,,
21401120,0,,
21401400,0,,
21407000,0,,
21407110,0,,
21407120,0,,
21410000,0,,
21410110,0,,
21410120,0,,
21416000,0,,
21416110,0,,
21416120,0,,
21416150,0,,
21417100,0,,
21417110,0,,
21417120,0,,
21420100,0,,
21500000,0,,
21500100,0,,
21500310,0,,
21601000,0,,
21601010,0,,
21602000,0.64,,
21602010,0.58,,
21602100,2.14,,
21701000,0,,
21701010,0,,
